SampleID,Disease,UMAP1,UMAP2,UMAP3
CRR_087,CRR,4.9714937,5.5134563,6.375231
CRR_088,CRR,5.038837,5.501979,6.428508
CRR_089,CRR,3.4623873,4.2137594,7.2623873
CRR_090,CRR,3.5097582,4.220036,7.2960305
CRR_091,CRR,4.6608844,5.76361,6.4003897
CRR_092,CRR,4.6501207,5.675911,6.3312774
CRR_093,CRR,5.861114,6.001116,7.726309
CRR_094,CRR,5.9182057,5.9691367,7.8837795
CRR_095,CRR,6.330013,5.065038,6.914789
CRR_096,CRR,6.2953315,5.0286126,6.8552976
CRR_097,CRR,6.7552896,5.0142326,7.2893515
CRR_098,CRR,6.722602,5.012175,7.2321405
CRR_099,CRR,5.1472673,5.0168047,7.987457
CRR_0100,CRR,5.219132,5.122176,7.9500256
CRR_101,CRR,4.527269,4.080454,7.813278
CRR_102,CRR,4.5472074,4.056946,7.841469
CRR_103,CRR,4.3720927,4.1464233,7.6464167
CRR_104,CRR,4.3244195,4.1474843,7.66759
CRR_105,CRR,4.465252,6.019879,7.629108
CRR_106,CRR,4.4720874,6.0338645,7.611176
CRR_107,CRR,2.764026,4.0823936,7.344014
CRR_108,CRR,2.781236,4.0543494,7.3158712
CRR_109,CRR,6.3019795,5.9462085,8.151139
CRR_110,CRR,9.846259,6.233786,9.394796
CRR_111,CRR,5.1721454,4.780486,7.662155
CRR_112,CRR,5.1959443,4.7087626,7.700584
CRR_113,CRR,6.981911,3.64687,8.764032
CRR_114,CRR,7.0386467,3.6065724,8.776488
CRR_115,CRR,6.825505,3.3269584,8.688383
CRR_116,CRR,6.884922,3.1633775,8.742116
CRR_117,CRR,6.7581506,2.6765516,8.515808
CRR_118,CRR,6.827055,2.5816653,8.53223
CRR_119,CRR,6.599352,3.5145502,8.585954
CRR_120,CRR,6.6255193,3.5438476,8.604686
CRR_121,CRR,6.534595,3.587249,8.491963
CRR_122,CRR,6.596513,3.6328828,8.457099
CRR_123,CRR,7.1074457,4.3119826,8.057382
CRR_124,CRR,7.1739545,4.2629013,8.104632
CRR_125,CRR,6.6828957,3.7384913,8.809172
CRR_126,CRR,6.631097,3.6956327,8.782751
CRR_127,CRR,7.33862,5.0717783,7.2217197
CRR_128,CRR,7.326476,5.063673,7.2356925
CRR_129,CRR,6.9609303,4.7945795,7.9374676
CRR_130,CRR,6.995677,4.734365,7.951127
CRR_131,CRR,6.811387,3.6227002,8.554346
CRR_132,CRR,6.871638,3.52982,8.407683
CRR_133,CRR,6.714416,3.4554856,8.588811
CRR_134,CRR,6.8824205,3.3819537,8.639848
CRR_135,CRR,7.5891137,2.6969874,10.036208
CRR_136,CRR,7.6084495,2.3785305,10.284774
CRR_137,CRR,6.597913,3.6775908,8.846898
CRR_138,CRR,6.6498766,3.4018407,9.028861
CRR_139,CRR,7.0403295,2.3232155,8.812767
CRR_140,CRR,7.0676026,2.2292016,8.729626
CRR_141,CRR,6.700629,2.693101,9.530156
CRR_142,CRR,6.7367063,2.6869335,9.545761
CRR_143,CRR,7.203621,2.8286746,8.885204
CRR_144,CRR,7.40748,2.6503294,8.96571
CRR_145,CRR,7.265149,2.8615196,9.169575
CRR_146,CRR,7.308488,2.751753,9.153149
CRR_147,CRR,7.244482,2.886473,8.6162
CRR_148,CRR,7.557235,2.2529027,9.592982
CRR_149,CRR,7.490455,2.9069507,9.357174
CRR_150,CRR,7.634155,2.738119,9.629861
CRR_151,CRR,10.277046,5.963919,8.772874
CRR_152,CRR,10.196995,6.0084114,8.779311
CRR_153,CRR,9.732568,5.5408564,8.898
CRR_154,CRR,9.919858,5.7012978,8.949093
CRR_155,CRR,10.664717,5.8304315,8.796932
CRR_156,CRR,10.610658,5.86889,8.829359
CRR_157,CRR,10.723074,5.8100915,8.848146
CRR_158,CRR,10.708018,5.844669,8.851654
CRR_159,CRR,10.274896,5.9314218,8.75681
CRR_160,CRR,10.205962,5.8939996,8.857232
CRR_161,CRR,10.186273,6.193841,9.150428
CRR_162,CRR,10.164295,6.1622486,9.098117
CRR_163,CRR,9.333646,6.092632,7.745565
CRR_164,CRR,9.350633,6.1087213,7.724621
CRR_165,CRR,9.008273,5.9044185,8.196271
CRR_166,CRR,9.109237,5.9597816,8.100518
CRR_167,CRR,8.971371,6.1106334,8.232403
CRR_168,CRR,9.004623,6.1186347,8.125317
CRR_169,CRR,9.385031,6.1006,8.621922
CRR_170,CRR,9.683237,5.9899564,8.696935
CRR_171,CRR,9.07322,5.5492935,8.972203
CRR_172,CRR,9.215598,5.607149,8.97733
CRR_173,CRR,9.439474,5.989301,7.4565754
CRR_174,CRR,9.539983,6.0307,7.5691514
CRR_175,CRR,8.796929,6.55523,8.6788435
CRR_176,CRR,8.900104,6.4907103,8.684672
CRR_177,CRR,8.9576025,6.2976174,8.809489
CRR_178,CRR,9.017589,6.369898,8.796278
CRR_179,CRR,10.192877,6.0903316,8.607542
CRR_180,CRR,10.224347,6.0953956,8.5847435
CRR_181,CRR,9.735993,6.227146,8.969947
CRR_182,CRR,9.812393,6.2144985,8.93136
CRR_183,CRR,9.987649,6.2932854,8.403644
CRR_184,CRR,10.023932,6.3452396,8.182924
CRR_185,CRR,9.4895525,6.2769747,8.830586
CRR_186,CRR,9.5398035,6.1830387,8.806462
CRR_187,CRR,10.188952,6.5869746,9.308606
CRR_188,CRR,10.161539,6.565803,9.313313
CRR_189,CRR,10.088491,6.3445945,8.125648
CRR_190,CRR,10.106266,6.391475,8.057489
CRR_191,CRR,8.998776,6.4481063,8.580055
CRR_192,CRR,8.9629345,6.4159255,8.527879
CRR_193,CRR,9.555885,6.28164,7.69058
CRR_194,CRR,9.690757,6.280778,7.6048155
CRR_195,CRR,9.98836,6.4953036,7.845089
CRR_196,CRR,10.045654,6.489915,7.89595
CRR_197,CRR,10.117566,6.4544,8.562989
CRR_198,CRR,10.235992,6.3763027,8.658057
CRR_199,CRR,10.231256,6.767971,8.67753
CRR_200,CRR,10.289923,6.684776,8.566905
CRR_201,CRR,10.788854,7.068866,8.463812
CRR_202,CRR,10.827696,7.10313,8.436967
CRR_203,CRR,9.29914,6.676339,8.800299
CRR_204,CRR,9.425675,6.7435994,8.845022
CRR_205,CRR,9.62865,6.644963,8.891037
CRR_206,CRR,9.930238,6.592201,8.691823
CRR_207,CRR,9.700356,7.0757346,9.330783
CRR_208,CRR,9.666465,7.008229,9.295579
CRR_209,CRR,9.96658,6.5583887,7.7960334
CRR_210,CRR,9.944305,6.5217476,7.8616347
CRR_211,CRR,10.16784,7.645719,9.721589
CRR_212,CRR,10.144046,7.513668,9.631375
CRR_213,CRR,11.568277,7.1787205,6.2373047
CRR_214,CRR,11.541236,7.1566024,6.264069
CRR_215,CRR,10.264989,6.7506943,9.217611
CRR_216,CRR,10.263164,6.7376475,9.176319
CRR_217,CRR,10.11562,6.7992735,7.9613957
CRR_218,CRR,10.114216,6.779431,7.917359
CRR_219,CRR,10.195896,6.528515,8.07696
CRR_220,CRR,10.080251,6.6219954,7.918748
CRR_221,CRR,10.143543,6.491451,8.065087
CRR_222,CRR,10.179697,6.4198303,8.085611
CRR_223,CRR,9.869538,8.261857,6.5869336
CRR_224,CRR,9.88413,8.266605,6.5824594
CRR_225,CRR,9.929109,7.3601856,9.441939
CRR_226,CRR,9.976695,7.338803,9.399615
CRR_227,CRR,10.225139,7.092794,8.598348
CRR_228,CRR,10.236634,7.0836706,8.583461
CRR_229,CRR,10.107083,6.8256764,8.095214
CRR_230,CRR,10.094505,6.776287,8.1358795
CRR_231,CRR,7.991501,0.8513508,7.0473056
CRR_232,CRR,7.9574213,0.8710626,7.0281606
CRR_233,CRR,7.1527357,5.4073305,6.8165965
CRR_234,CRR,7.2964907,5.2934036,6.840164
CRR_235,CRR,8.198685,0.5001505,7.41029
CRR_236,CRR,8.164137,0.50877887,7.41925
CRR_237,CRR,8.227064,0.6175405,7.26183
CRR_238,CRR,8.23518,0.62906307,7.263208
CRR_239,CRR,8.332237,0.4356847,7.519764
CRR_240,CRR,8.369275,0.39048585,7.5977116
CRR_241,CRR,8.601129,0.39094338,8.252723
CRR_242,CRR,8.701344,0.4306986,8.4793415
CRR_243,CRR,8.175279,0.69220537,7.1971216
CRR_244,CRR,8.156609,0.78663903,7.165375
CRR_245,CRR,8.73888,1.2891198,7.6812115
CRR_246,CRR,8.687774,1.3481122,7.756934
CRR_247,CRR,8.82216,0.3872355,8.516295
CRR_248,CRR,8.7501335,0.49550563,8.540301
CRR_249,CRR,8.638433,0.7808795,7.9049115
CRR_250,CRR,8.677703,0.57766277,8.0669365
CRR_251,CRR,8.598581,0.01442894,8.44154
CRR_252,CRR,8.5602455,-0.0830626,8.420707
CRR_253,CRR,8.488527,-0.19574012,8.40893
CRR_254,CRR,8.554835,-0.09598451,8.420499
CRR_255,CRR,8.547861,1.6392741,7.949713
CRR_256,CRR,8.532085,1.6348591,7.9545107
CRR_257,CRR,8.358311,1.0128434,8.903776
CRR_258,CRR,8.422028,0.9014664,8.832917
CRR_259,CRR,9.456678,6.006784,7.4919915
CRR_260,CRR,10.143387,7.5555725,9.645471
CRR_261,CRR,11.533589,7.1460176,6.2722754
CRR_262,CRR,6.027072,5.2298465,7.110745
CRR_263,CRR,6.60466,6.369683,7.3604903
CRR_264,CRR,5.3403788,5.373972,6.597565
CRR_265,CRR,5.2366786,6.9254713,6.114178
CRR_266,CRR,4.6270375,5.7134266,6.3507495
CRR_267,CRR,2.769893,4.081227,7.3385353
CRR_268,CRR,5.8554735,5.9707913,7.698199
CRR_269,CRR,6.741917,5.0212283,7.1449685
CRR_270,CRR,6.7214556,2.7122946,9.525
CRR_271,CRR,8.56442,-0.091805734,8.407998
CRR_272,CRR,8.529525,-0.118106104,8.446857
CRR_273,CRR,10.792646,7.0685005,8.466923
CRR_274,CRR,5.5543914,6.093065,7.1985445
CRR_275,CRR,7.387925,2.6477816,8.836584
CRR_276,CRR,6.756035,5.999428,6.532279
CRR_277,CRR,4.3516893,4.1383586,7.6550345
CRR_278,CRR,8.241095,0.65812236,7.2566404
CRR_279,CRR,8.189077,0.6895091,7.209429
CRR_280,CRR,10.776174,7.033183,8.471832
CRR_281,CRR,6.851724,2.5511155,8.574364
CRR_282,CRR,11.542034,7.153739,6.2646585
CRR_283,CRR,9.007983,6.421856,8.603796
CRR_284,CRR,6.206938,6.348831,6.8811264
CRR_285,CRR,5.076746,5.781264,6.4092402
CRR_286,CRR,11.532247,7.1491547,6.272702
CRR_287,CRR,10.164882,6.4909177,9.266044
CRR_288,CRR,2.7929819,4.0594683,7.3216553
CRR_289,CRR,6.622697,6.379918,7.328667
CRR_290,CRR,7.271176,2.7612586,9.167807
CRR_291,CRR,10.171213,7.592978,9.676427
CRR_292,CRR,6.673862,6.109835,6.7356114
CRR_293,CRR,6.298169,5.681385,7.3109784
CRR_294,CRR,6.670832,6.119203,6.734357
CRR_295,CRR,7.622172,2.72728,9.625332
CRR_296,CRR,7.363035,5.089031,7.2129064
CRR_297,CRR,6.258558,5.0717635,6.8699183
CRR_298,CRR,10.738282,7.022187,8.498392
CRR_299,CRR,7.003186,3.497349,8.422025
CRR_300,CRR,4.6100726,4.1520987,7.746597
HCC_001,HCC,4.562404,6.853937,6.3064933
HCC_002,HCC,4.772664,6.51839,6.754239
HCC_003,HCC,5.891512,6.607242,5.7713256
HCC_004,HCC,6.7369747,5.0092435,6.9368706
HCC_005,HCC,4.9127283,6.9987135,5.9184513
HCC_006,HCC,5.2732663,6.9537964,5.790668
HCC_007,HCC,4.3207054,6.763508,6.855523
HCC_008,HCC,4.249005,6.778099,6.983806
HCC_009,HCC,6.406059,6.032259,6.7941637
HCC_0010,HCC,6.413362,6.0113044,6.9206905
HCC_011,HCC,5.668844,6.2452526,7.0886197
HCC_012,HCC,5.884874,6.111813,7.481331
HCC_013,HCC,4.4338703,6.2361083,7.490669
HCC_014,HCC,4.532609,6.174191,7.6119127
HCC_015,HCC,5.0099835,5.9591556,7.8434706
HCC_016,HCC,5.114072,5.9168863,7.899609
HCC_017,HCC,5.35657,5.5174856,7.9289227
HCC_018,HCC,5.3509192,5.582168,7.964276
HCC_019,HCC,1.5486304,8.141519,12.139187
HCC_020,HCC,1.5476376,8.147888,12.139546
HCC_021,HCC,4.7957134,5.9945955,7.374682
HCC_022,HCC,4.8676805,5.9556346,7.53182
HCC_023,HCC,5.1488233,5.8908806,8.181647
HCC_024,HCC,5.1194296,5.9103804,8.134456
HCC_025,HCC,4.554057,5.551497,6.1801686
HCC_026,HCC,4.5896134,5.447868,6.336708
HCC_027,HCC,2.9359832,3.8863955,7.1699147
HCC_028,HCC,2.9987173,3.8859613,7.1661777
HCC_029,HCC,6.6653996,5.097837,7.1049547
HCC_030,HCC,6.649782,5.033762,7.0399857
HCC_031,HCC,4.9284916,4.3583302,7.7191353
HCC_032,HCC,4.9581656,4.452366,7.6453786
HCC_033,HCC,6.1157885,4.4851274,7.4395404
HCC_034,HCC,6.3618665,4.647103,7.2865844
HCC_035,HCC,5.0387444,4.374272,7.9727883
HCC_036,HCC,5.06423,4.467163,7.9131913
HCC_037,HCC,4.8329225,3.860288,7.6995063
HCC_038,HCC,4.7582183,3.8966694,7.707397
HCC_039,HCC,5.703572,-4.799473,7.020851
HCC_040,HCC,5.6277456,-4.8252707,7.097262
HCC_041,HCC,8.796935,5.404559,8.984195
HCC_042,HCC,8.982639,5.5376253,9.037679
HCC_043,HCC,10.223238,9.780053,-2.8037376
HCC_044,HCC,10.165053,9.721959,-2.7447593
HCC_045,HCC,6.7129755,3.6643736,8.743552
HCC_046,HCC,6.6832466,3.6458845,8.721262
HCC_047,HCC,6.7247157,2.8965394,8.896619
HCC_048,HCC,6.8037357,2.717283,8.963905
HCC_049,HCC,6.2757955,3.338973,8.535931
HCC_050,HCC,6.275407,3.3216064,8.533561
HCC_051,HCC,6.8946404,3.334797,9.657989
HCC_052,HCC,6.893643,3.3819654,9.624437
HCC_053,HCC,7.116961,3.4149127,8.790859
HCC_054,HCC,7.074541,3.4354315,8.775644
HCC_055,HCC,5.6540504,4.372586,8.056141
HCC_056,HCC,5.6361,4.3626113,8.068624
HCC_057,HCC,6.942843,2.2398865,8.704194
HCC_058,HCC,7.0828447,2.0669072,8.725209
HCC_059,HCC,3.8089504,-9.254178,-5.543241
HCC_060,HCC,12.709576,-0.94484144,12.576941
HCC_061,HCC,6.750636,2.6932712,9.761123
HCC_062,HCC,6.8912935,2.5541666,9.971487
HCC_063,HCC,7.6794744,1.9449253,9.960883
HCC_064,HCC,7.677172,1.9693022,10.031951
HCC_065,HCC,7.464874,2.8016868,8.820552
HCC_066,HCC,7.4268837,2.8006864,8.813908
HCC_067,HCC,6.929576,2.3118708,9.426516
HCC_068,HCC,6.9456763,2.3067365,9.49176
HCC_069,HCC,7.921635,2.1952488,8.5369
HCC_070,HCC,7.922789,2.2020478,8.538981
HCC_071,HCC,6.910952,2.4771323,9.201621
HCC_072,HCC,6.9341354,2.4089031,9.079138
HCC_073,HCC,7.1430883,2.6241016,8.864353
HCC_074,HCC,7.229925,2.419186,8.949181
HCC_075,HCC,7.5510025,2.303407,10.090933
HCC_076,HCC,7.7134724,2.120333,10.500467
HCC_077,HCC,7.7582436,2.4211655,11.41509
HCC_078,HCC,7.760504,2.3921754,11.392027
HCC_079,HCC,7.8212695,1.8347868,10.931031
HCC_080,HCC,7.8641977,1.7603186,10.924344
HCC_081,HCC,12.261532,0.63426685,1.7904216
HCC_082,HCC,12.215914,0.57703906,1.8035679
HCC_083,HCC,10.093096,5.754893,8.961305
HCC_084,HCC,10.023764,5.7265654,9.0073
HCC_085,HCC,10.802454,5.7803316,8.769254
HCC_086,HCC,10.724298,5.814519,8.768009
HCC_087,HCC,9.484248,5.820132,7.312546
HCC_088,HCC,9.478339,5.8136053,7.3074584
HCC_089,HCC,9.0709095,6.103353,8.450188
HCC_090,HCC,9.202359,6.142817,8.53292
HCC_091,HCC,9.144203,6.279238,8.768332
HCC_092,HCC,9.211698,6.2731667,8.837998
HCC_093,HCC,9.9772835,6.217035,8.977061
HCC_094,HCC,10.078826,6.0800505,8.929746
HCC_095,HCC,9.784449,7.432691,9.458585
HCC_096,HCC,9.808491,7.505631,9.494298
HCC_097,HCC,10.252884,7.192222,8.875723
HCC_098,HCC,10.257228,7.150051,8.880889
HCC_099,HCC,10.084536,7.390833,9.550278
HCC_0100,HCC,10.127365,7.3307004,9.532406
HCC_101,HCC,9.936852,8.364541,6.498233
HCC_102,HCC,9.90217,8.32508,6.524897
HCC_103,HCC,10.3681135,6.4960723,8.6716795
HCC_104,HCC,10.42316,6.506173,8.639252
HCC_105,HCC,9.920455,7.6930714,9.823587
HCC_106,HCC,9.89749,7.710325,9.794762
HCC_107,HCC,11.031914,7.1882496,9.794249
HCC_108,HCC,11.056821,7.184674,9.807731
HCC_109,HCC,8.083629,0.70937556,7.0772767
HCC_110,HCC,8.015433,0.82509786,7.0409293
HCC_111,HCC,8.916326,-0.0049029756,8.106929
HCC_112,HCC,8.828392,0.15583295,8.426358
HCC_113,HCC,8.712363,0.9859066,7.5449705
HCC_114,HCC,8.7145195,0.9884935,7.545203
HCC_115,HCC,8.9466505,0.2757921,8.285041
HCC_116,HCC,8.933985,0.2550601,8.346729
HCC_117,HCC,9.137445,0.00073924055,8.611072
HCC_118,HCC,9.097256,-0.041614193,8.592767
HCC_119,HCC,8.470391,0.7340022,8.416445
HCC_120,HCC,8.56104,0.656669,8.460579
HCC_121,HCC,7.672584,2.1349826,10.456228
HCC_122,HCC,5.0886316,5.900511,7.908371
HCC_123,HCC,8.702316,0.9904921,7.546416
HCC_124,HCC,4.752873,4.2096295,7.6546955
HCC_125,HCC,5.7018695,-4.7625756,7.022659
HCC_126,HCC,6.397552,6.0463047,6.8558764
HCC_127,HCC,5.7257667,-4.7647567,6.9985766
HCC_128,HCC,5.629715,4.373723,8.054855
HCC_129,HCC,7.631701,2.1304147,10.26498
HCC_130,HCC,8.694281,1.0315821,7.524467
HCC_131,HCC,4.8216677,3.8725464,7.6584897
HCC_132,HCC,12.729891,-0.96528435,12.597314
HCC_133,HCC,4.566345,5.5446277,6.1862874
HCC_134,HCC,12.753509,-0.9871934,12.621005
HCC_135,HCC,7.7176633,2.0879679,10.476157
HCC_136,HCC,4.5170507,6.252413,7.501379
HCC_137,HCC,6.7527323,2.7261326,9.78494
HCC_138,HCC,6.891225,2.5467348,9.962204
HCC_139,HCC,3.8604455,-9.20271,-5.4917693
HCC_140,HCC,12.760623,-0.989576,12.628055
HCC_141,HCC,4.771145,3.9192903,7.70777
HCC_142,HCC,4.5470552,5.5389256,6.1726184
HCC_143,HCC,7.0701747,2.0958178,8.734876
HCC_144,HCC,7.644803,1.9903853,9.981874
HCC_145,HCC,4.5798173,6.0940413,7.6855683
HCC_146,HCC,10.281948,7.1421466,8.878092
HCC_147,HCC,5.7451553,-4.7493057,6.9792542
HCC_148,HCC,7.7388945,2.0885017,10.405937
HCC_149,HCC,4.251976,6.7885942,6.9736905
HCC_150,HCC,7.838846,2.2667234,8.61681
HCC_151,HCC,7.758176,2.4085195,11.352624
HCC_152,HCC,8.824974,0.03159271,8.30239
HCC_153,HCC,7.6541977,2.1265924,10.373974
HCC_154,HCC,4.4796023,6.2970505,7.4402103
HCC_155,HCC,6.743563,2.8133173,8.939569
HCC_156,HCC,9.8264475,7.4854164,9.504755
HCC_157,HCC,5.6663747,-4.765483,7.058023
HCC_158,HCC,5.1357584,5.9050684,7.949256
HCC_159,HCC,6.8008566,2.766173,8.962514
HCC_160,HCC,5.664027,-4.7906823,7.060389
HCC_161,HCC,5.7186184,-4.774233,7.0058208
HCC_162,HCC,5.2360077,6.957218,5.741319
HCC_163,HCC,3.8403609,-9.222799,-5.511861
HCC_164,HCC,6.665084,3.621077,8.710239
HCC_165,HCC,6.7697864,2.6936069,9.845286
HCC_166,HCC,8.819632,0.06601273,8.216945
HCC_167,HCC,4.52285,6.243452,7.4814878
HCC_168,HCC,12.2445545,0.61865026,1.8084143
HCC_169,HCC,10.207144,9.763994,-2.7874804
HCC_170,HCC,7.696951,2.1390033,10.450908
HCC_171,HCC,5.146938,5.8520823,8.158274
HCC_172,HCC,3.8824992,-9.180656,-5.4697165
HCC_173,HCC,10.249813,7.1765237,8.881387
HCC_174,HCC,9.219978,6.280735,8.807965
HCC_175,HCC,11.00265,7.2057815,9.765631
HCC_176,HCC,11.028286,7.189139,9.791323
HCC_177,HCC,4.940123,7.0107894,5.882599
HCC_178,HCC,9.898229,7.6991873,9.796306
HCC_179,HCC,8.75212,1.0449016,7.5874295
HCC_180,HCC,4.716153,4.256302,7.602052
HCC_181,HCC,5.61919,-4.778237,7.105452
HCC_182,HCC,5.2968,6.97312,5.7799716
HCC_183,HCC,5.407895,5.591293,8.006533
HCC_184,HCC,4.56128,6.0851803,7.647873
HCC_185,HCC,10.192416,9.749258,-2.7727196
HCC_186,HCC,6.8106594,2.6574259,9.802163
HCC_187,HCC,6.6650615,5.1057916,7.139491
HCC_188,HCC,10.112502,7.44131,9.592022
HCC_189,HCC,12.241218,0.6197776,1.8094647
HCC_190,HCC,10.166679,9.723584,-2.746375
HCC_191,HCC,4.2649302,6.7832885,6.9033494
HCC_192,HCC,10.052865,6.1665416,8.937569
HCC_193,HCC,4.5405693,6.8487554,6.329566
HCC_194,HCC,7.8655634,1.7530371,10.962838
HCC_195,HCC,7.166497,2.509037,8.956044
HCC_196,HCC,9.124,-0.0025927399,8.599748
HCC_197,HCC,2.975794,3.9079583,7.1891456
HCC_198,HCC,9.86387,7.5620494,9.581653
HCC_199,HCC,9.834554,7.5428104,9.566261
HCC_200,HCC,9.9092865,8.333291,6.5175076
HCC_201,HCC,11.041735,7.1919875,9.799868
HCC_202,HCC,4.7524858,4.208125,7.673868
HCC_203,HCC,2.9975495,4.0182753,7.2948956
HCC_204,HCC,10.124812,9.681651,-2.7052505
HCC_205,HCC,9.929443,8.348347,6.502585
HCC_206,HCC,10.085072,6.1567717,8.905535
HCC_207,HCC,8.814549,0.07752564,8.264327
HCC_208,HCC,9.478421,5.8161407,7.308563
HCC_209,HCC,9.479982,5.8005385,7.3003206
HCC_210,HCC,10.077261,5.7645717,8.954314
HCC_211,HCC,9.896881,8.318815,6.533226
HCC_212,HCC,7.867457,1.7488679,10.950406
HCC_213,HCC,12.716841,-0.9594208,12.583765
HCC_214,HCC,10.774551,5.7883854,8.757227
HCC_215,HCC,10.341025,6.4144883,8.751856
HCC_216,HCC,5.9011517,6.595808,5.7548027
HCC_217,HCC,4.9239297,7.0017343,5.9038987
HCC_218,HCC,7.7671824,2.3704615,11.34122
HCC_219,HCC,5.3415103,5.537137,7.920785
HCC_220,HCC,7.6198697,2.1968846,10.396387
HCC_221,HCC,6.3505945,4.6258874,7.3037605
HCC_222,HCC,12.205317,0.65338844,1.843353
HCC_223,HCC,4.300955,6.8143597,6.843127
HCC_224,HCC,9.136277,-0.0009032325,8.60297
HCC_225,HCC,5.68867,-4.7956667,7.035799
HCC_226,HCC,12.275074,0.5470255,1.7454182
HCC_227,HCC,9.797152,7.525189,9.52131
HCC_228,HCC,4.2526026,6.79004,6.984008
HCC_229,HCC,8.87776,0.089275196,8.206271
